chrom	start	stop	id	score	strand	thickStart	thickStop	rgb	exons	exonSizes	exonStarts	Patient_TB18987.counts	Patient_TB17137.counts	Patient_TB17069.counts	Patient_TB18987.counts	Patient_TB17905.counts	Total counts	Events	r.  ENST00000404276.6	known isoforms
chr22	28687896	28734721	FLAIR.tx.15	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,87,100,62,54,109,125,319,"	"0,1238,6135,7230,9004,11941,15608,22109,24012,37346,46506,"	303	3	0	0	0	306	"delta 4,5,11"	"503_741del, 1154_1317del"	
chr22	28687896	28734721	FLAIR.tx.16	60	-	28687896	28734721	"217,95,2"	15	"90,81,86,116,164,87,100,62,54,109,91,114,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,33621,37080,37346,46506,"	4	9	285	6	0	304	intron4 inclusion (114bp)	650_651ins651-2146_651-2032	
chr22	28687896	28734721	FLAIR.tx.17	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,100,62,54,109,125,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,37346,46506,"	3	286	0	2	0	291	"delta 4,5,10"	"503_741del, 1067_1153del"	
chr22	28687896	28734721	FLAIR.tx.18	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,87,100,54,109,125,319,"	"0,1238,6135,7230,7813,9004,11941,22109,24012,37346,46506,"	1	285	0	1	0	287	"delta 4,5,8"	"503_741del, 905_966del"	
chr22	28687896	28734721	FLAIR.tx.19	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,164,87,100,54,109,91,148,125,129,319,"	"0,1238,6135,7230,7813,9004,11941,22109,24012,31498,37080,37346,42523,46506,"	2	265	2	2	0	271	"intron2 inclusion (129bp), delta 8"	"377_378ins377+3854_377+3983, 905_966del"	
chr22	28687896	28734721	FLAIR.tx.20	60	-	28687896	28734721	"217,95,2"	10	"90,81,100,62,54,109,91,148,125,319,"	"0,1238,11941,15608,22109,24012,31498,37080,37346,46506,"	189	3	8	6	0	206	delta 10-13	1067_1519del	
chr22	28687896	28734721	FLAIR.tx.21	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,62,54,91,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,31498,37080,37346,46506,"	3	16	8	117	0	144	delta 6	742_850del	
chr22	28687896	28734721	FLAIR.tx.22	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,100,62,54,109,91,38,125,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,36989,37346,46506,"	0	11	4	97	0	112	"delta 4,10 intron4 inclusion(38bp)"	"503_650del, 650_651ins650+53_650+91, 1067_1153del"	
chr22	28687896	28734721	FLAIR.tx.23	60	-	28687896	28734721	"217,95,2"	16	"90,81,86,116,164,87,100,62,54,109,91,148,125,95,129,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,37080,37346,41385,42523,46506,"	2	4	2	88	0	96	intron 2 inclusions (95bp & 129bp)	"377_378ins377+3854_377+3983, 377_378ins378-4009_378-3914 "	
chr22	28687896	28734721	ENST00000448511.5	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,164,87,100,62,54,109,91,38,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,36989,37346,46506,"	1	18	3	68	0	90	"delta 4, intron4 inclusion(38bp)"	"503_650del, 650_651ins650+53_650+91"	
chr22	28687896	28734721	FLAIR.tx.24	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,62,54,109,91,148,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,37080,46506,"	12	44	16	12	0	84	delta 3	378_502del	
chr22	28687896	28734721	FLAIR.tx.25	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,62,109,91,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,24012,31498,37080,37346,46506,"	7	43	19	9	0	78	delta 7	851_904del	
chr22	28687896	28734721	FLAIR.tx.26	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,83,164,100,62,54,109,91,148,125,93,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,37080,37346,42559,46506,"	53	3	0	12	0	68	"intron 2 inclusion (93bp) delta 10,12p (33bp)"	"377_378ins377+3854_377+3947, 1067_1153del, 1318_1351del"	
chr22	28687896	28734721	FLAIR.tx.27	60	-	28687896	28734721	"217,95,2"	13	"90,81,116,164,87,100,62,54,109,91,148,125,319,"	"0,1238,7230,7813,9004,11941,15608,22109,24012,31498,37080,37346,46506,"	9	30	14	12	0	65	delta 13	1519_1434del	
chr22	28687896	28734721	FLAIR.tx.28	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,62,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,9004,15608,22109,24012,31498,37080,37346,46506,"	6	28	17	10	0	61	delta 9	967_1066del 	
chr22	28687896	28734721	FLAIR.tx.29	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,164,87,100,62,54,109,91,148,125,319,"	"0,1238,6135,7813,9004,11941,15608,22109,24012,31498,37080,37346,46506,"	9	26	9	12	0	56	delta 12	1318_1433del	
chr22	28687896	28734721	FLAIR.tx.30	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,164,100,62,54,109,91,148,125,93,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,37080,37346,42559,46506,"	22	3	5	21	0	51	intron 2 inclusion (93bp) delta10	"377_378ins377+3854_377+3947, 1067_1153del"	
chr22	28687896	28734721	FLAIR.tx.31	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,164,87,100,62,54,109,91,239,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,36989,37346,46506,"	5	25	6	13	0	49			
chr22	28687896	28734721	FLAIR.tx.32	60	-	28687896	28734721	"217,95,2"	13	"90,86,116,164,87,100,62,54,109,91,148,125,319,"	"0,6135,7230,7813,9004,11941,15608,22109,24012,31498,37080,37346,46506,"	12	19	9	9	0	49			
chr22	28687896	28734721	FLAIR.tx.33	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,100,54,109,148,125,319,"	"0,1238,6135,7230,7813,11941,22109,24012,37080,37346,46506,"	0	41	1	6	0	48			
chr22	28687896	28734721	FLAIR.tx.34	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,62,54,109,91,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,37346,46506,"	4	26	8	6	0	44			
chr22	28687896	28734721	FLAIR.tx.35	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,62,54,109,125,129,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,37346,42523,46506,"	1	40	1	0	0	42			
chr22	28687896	28734721	FLAIR.tx.36	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,83,164,100,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,11941,22109,24012,31498,37080,37346,46506,"	1	3	0	37	0	41			
chr22	28687896	28734721	FLAIR.tx.37	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,87,100,109,91,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,24012,31498,37080,37346,46506,"	5	22	8	5	0	40			
chr22	28687896	28734721	FLAIR.tx.38	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,164,100,62,54,109,91,114,148,125,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,33621,37080,37346,46506,"	1	6	30	1	0	38			
chr22	28687896	28734721	FLAIR.tx.39	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,62,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,15608,22109,24012,31498,37080,37346,46506,"	7	13	4	12	0	36			
chr22	28687896	28734721	FLAIR.tx.40	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,100,62,54,109,91,148,125,319,"	"0,1238,6135,7230,11941,15608,22109,24012,31498,37080,37346,46506,"	2	17	11	5	0	35			
chr22	28687896	28734721	FLAIR.tx.41	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,164,87,100,62,54,109,148,125,129,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,37080,37346,42523,46506,"	0	33	0	2	0	35			
chr22	28687896	28734721	FLAIR.tx.42	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,83,164,100,62,54,109,91,148,125,129,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,37080,37346,42523,46506,"	12	7	2	12	0	33			
chr22	28687896	28734721	FLAIR.tx.43	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,83,164,87,100,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,22109,24012,31498,37080,37346,46506,"	2	15	5	11	0	33			
chr22	28687896	28734721	FLAIR.tx.44	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,62,54,109,91,391,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,37080,46506,"	5	20	3	4	0	32			
chr22	28687896	28734721	FLAIR.tx.45	60	-	28687896	28734721	"217,95,2"	15	"90,81,86,83,164,87,100,62,54,109,91,148,125,93,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,37080,37346,42559,46506,"	16	7	3	4	0	30			
chr22	28687896	28734721	FLAIR.tx.46	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,100,62,109,91,148,125,319,"	"0,1238,6135,7230,7813,11941,15608,24012,31498,37080,37346,46506,"	1	10	10	8	0	29			
chr22	28687896	28734721	FLAIR.tx.47	60	-	28687896	28734721	"217,95,2"	8	"90,81,86,116,164,148,125,319,"	"0,1238,6135,7230,7813,37080,37346,46506,"	3	16	5	5	0	29			
chr22	28687896	28734721	FLAIR.tx.48	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,87,100,62,91,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,31498,37080,37346,46506,"	4	13	7	5	0	29			
chr22	28687896	28734721	FLAIR.tx.49	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,100,62,54,109,148,125,129,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,37080,37346,42523,46506,"	0	28	1	0	0	29			
chr22	28687896	28734721	FLAIR.tx.50	60	-	28687896	28734721	"217,95,2"	10	"90,81,86,116,164,87,100,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,37080,37346,46506,"	1	17	4	5	0	27			
chr22	28687896	28734721	FLAIR.tx.51	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,54,109,148,125,129,319,"	"0,1238,6135,7230,7813,9004,11941,22109,24012,37080,37346,42523,46506,"	0	21	5	1	0	27			
chr22	28687896	28734721	FLAIR.tx.52	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,83,87,100,62,54,109,91,148,125,319,"	"0,1238,6135,7230,9004,11941,15608,22109,24012,31498,37080,37346,46506,"	1	10	5	10	0	26			
chr22	28687896	28734721	FLAIR.tx.53	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,87,100,62,54,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,37080,37346,46506,"	4	19	3	0	0	26			
chr22	28687896	28734721	FLAIR.tx.54	60	-	28687896	28734721	"217,95,2"	12	"90,116,164,87,100,62,54,109,91,148,125,319,"	"0,7230,7813,9004,11941,15608,22109,24012,31498,37080,37346,46506,"	0	12	8	6	0	26			
chr22	28687896	28734721	FLAIR.tx.55	60	-	28687896	28734721	"217,95,2"	12	"90,81,116,164,100,62,54,109,91,148,125,319,"	"0,1238,7230,7813,11941,15608,22109,24012,31498,37080,37346,46506,"	0	8	10	7	0	25			
chr22	28687896	28734721	FLAIR.tx.56	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,87,100,62,54,109,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,46506,"	2	16	2	3	0	23			
chr22	28687896	28734721	FLAIR.tx.57	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,87,100,62,54,109,91,148,125,319,"	"0,1238,6135,9004,11941,15608,22109,24012,31498,37080,37346,46506,"	5	8	4	6	0	23			
chr22	28687896	28734721	FLAIR.tx.58	60	-	28687896	28734721	"217,95,2"	10	"90,81,86,116,164,109,91,148,125,319,"	"0,1238,6135,7230,7813,24012,31498,37080,37346,46506,"	2	7	9	5	0	23			
chr22	28687896	28734721	ENST00000403642.5	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,87,100,62,54,109,91,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,31498,46506,"	1	14	4	4	0	23			
chr22	28687896	28734721	FLAIR.tx.59	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,87,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,9004,22109,24012,31498,37080,37346,46506,"	3	9	7	4	0	23			
chr22	28687896	28734721	FLAIR.tx.60	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,87,100,91,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,31498,37080,37346,46506,"	0	11	4	7	0	22			
chr22	28687896	28734721	FLAIR.tx.61	60	-	28687896	28734721	"217,95,2"	9	"90,81,86,116,164,87,100,62,319,"	"0,1238,6135,7230,7813,9004,11941,15608,46506,"	3	11	4	3	0	21			
chr22	28687896	28734721	FLAIR.tx.62	60	-	28687896	28734721	"217,95,2"	12	"90,86,116,164,100,62,54,109,91,148,125,319,"	"0,6135,7230,7813,11941,15608,22109,24012,31498,37080,37346,46506,"	2	7	7	5	0	21			
chr22	28687896	28734721	FLAIR.tx.63	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,83,100,62,54,109,91,148,125,319,"	"0,1238,6135,7230,11941,15608,22109,24012,31498,37080,37346,46506,"	1	8	9	3	0	21			
chr22	28687896	28734721	FLAIR.tx.64	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,87,109,91,148,125,319,"	"0,1238,6135,7230,7813,9004,24012,31498,37080,37346,46506,"	0	9	8	3	0	20			
chr22	28687896	28734721	FLAIR.tx.65	60	-	28687896	28734721	"217,95,2"	9	"90,81,86,116,164,91,148,125,319,"	"0,1238,6135,7230,7813,31498,37080,37346,46506,"	1	11	4	4	0	20			
chr22	28687896	28734721	FLAIR.tx.66	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,87,100,62,54,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,37346,46506,"	1	10	7	2	0	20			
chr22	28687896	28734721	FLAIR.tx.67	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,116,164,87,100,54,109,91,148,319,"	"0,1238,6135,7230,7813,9004,11941,22109,24012,31498,37080,46506,"	0	14	2	3	0	19			
chr22	28687896	28734721	FLAIR.tx.68	60	-	28687896	28734721	"217,95,2"	6	"90,81,86,116,125,319,"	"0,1238,6135,7230,37346,46506,"	1	11	5	2	0	19			
chr22	28687896	28734721	FLAIR.tx.69	60	-	28687896	28734721	"217,95,2"	10	"90,81,86,116,164,87,91,148,125,319,"	"0,1238,6135,7230,7813,9004,31498,37080,37346,46506,"	3	12	3	1	0	19			
chr22	28687896	28734721	FLAIR.tx.70	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,83,164,100,62,109,91,148,125,319,"	"0,1238,6135,7230,7813,11941,15608,24012,31498,37080,37346,46506,"	1	9	6	2	0	18			
chr22	28687896	28734721	FLAIR.tx.71	60	-	28687896	28734721	"217,95,2"	15	"90,81,86,116,164,100,62,54,109,91,148,125,95,129,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,37080,37346,41385,42523,46506,"	1	2	2	13	0	18			
chr22	28687896	28734721	FLAIR.tx.72	60	-	28687896	28734721	"217,95,2"	10	"90,81,86,116,164,87,100,62,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,37346,46506,"	0	15	3	0	0	18			
chr22	28687896	28734721	FLAIR.tx.73	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,164,100,62,54,109,91,148,125,319,"	"0,1238,6135,7813,11941,15608,22109,24012,31498,37080,37346,46506,"	0	6	8	4	0	18			
chr22	28687896	28734721	FLAIR.tx.74	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,83,164,87,100,62,54,109,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,37080,37346,46506,"	1	7	3	7	0	18			
chr22	28687896	28734721	FLAIR.tx.75	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,87,100,62,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,37080,37346,46506,"	1	11	2	3	0	17			
chr22	28687896	28734721	FLAIR.tx.76	60	-	28687896	28734721	"217,95,2"	5	"90,81,86,125,319,"	"0,1238,6135,37346,46506,"	2	8	3	4	0	17			
chr22	28726225	28734721	FLAIR.tx.77	60	-	28726225	28734721	"217,95,2"	4	"136,95,129,319,"	"0,3056,4194,8177,"	0	0	16	0	0	16			
chr22	28687896	28734721	FLAIR.tx.78	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,100,54,109,91,148,125,129,319,"	"0,1238,6135,7230,7813,11941,22109,24012,31498,37080,37346,42523,46506,"	1	13	0	2	0	16			
chr22	28687896	28734721	FLAIR.tx.79	60	-	28687896	28734721	"217,95,2"	12	"90,81,86,83,87,100,54,109,91,148,125,319,"	"0,1238,6135,7230,9004,11941,22109,24012,31498,37080,37346,46506,"	0	12	3	1	0	16			
chr22	28687896	28734721	FLAIR.tx.80	60	-	28687896	28734721	"217,95,2"	9	"90,81,86,83,109,91,148,125,319,"	"0,1238,6135,7230,24012,31498,37080,37346,46506,"	0	7	5	3	0	15			
chr22	28687896	28734721	FLAIR.tx.81	60	-	28687896	28734721	"217,95,2"	10	"90,81,86,116,164,100,54,109,125,319,"	"0,1238,6135,7230,7813,11941,22109,24012,37346,46506,"	0	11	3	1	0	15			
chr22	28687896	28734721	FLAIR.tx.82	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,54,109,91,148,125,319,"	"0,1238,6135,7230,7813,22109,24012,31498,37080,37346,46506,"	2	9	2	2	0	15			
chr22	28687896	28734721	FLAIR.tx.83	60	-	28687896	28734721	"217,95,2"	12	"90,86,116,164,87,100,54,109,91,148,125,319,"	"0,6135,7230,7813,9004,11941,22109,24012,31498,37080,37346,46506,"	1	7	7	0	0	15			
chr22	28687896	28734721	FLAIR.tx.84	60	-	28687896	28734721	"217,95,2"	9	"90,81,86,54,109,91,148,125,319,"	"0,1238,6135,22109,24012,31498,37080,37346,46506,"	1	7	5	2	0	15			
chr22	28687896	28734721	FLAIR.tx.85	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,164,87,100,54,109,91,148,125,93,319,"	"0,1238,6135,7230,7813,9004,11941,22109,24012,31498,37080,37346,42559,46506,"	5	6	2	2	0	15			
chr22	28687896	28734721	FLAIR.tx.86	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,100,109,91,148,125,319,"	"0,1238,6135,7230,7813,11941,24012,31498,37080,37346,46506,"	0	8	5	2	0	15			
chr22	28687896	28734721	FLAIR.tx.87	60	-	28687896	28734721	"217,95,2"	15	"90,81,86,83,164,100,62,54,109,91,148,125,95,129,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,37080,37346,41385,42523,46506,"	0	5	2	7	0	14			
chr22	28687896	28734721	FLAIR.tx.88	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,83,164,100,62,54,109,91,38,125,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,31498,36989,37346,46506,"	0	4	2	8	0	14			
chr22	28687896	28734721	FLAIR.tx.89	60	-	28687896	28734721	"217,95,2"	10	"90,81,86,62,54,109,91,148,125,319,"	"0,1238,6135,15608,22109,24012,31498,37080,37346,46506,"	1	5	5	3	0	14			
chr22	28687896	28734721	FLAIR.tx.90	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,87,100,62,54,109,91,148,125,93,319,"	"0,1238,6135,7230,9004,11941,15608,22109,24012,31498,37080,37346,42559,46506,"	5	6	1	2	0	14			
chr22	28687896	28734721	FLAIR.tx.91	60	-	28687896	28734721	"217,95,2"	12	"90,81,116,164,87,100,62,54,109,148,125,319,"	"0,1238,7230,7813,9004,11941,15608,22109,24012,37080,37346,46506,"	2	9	3	0	0	14			
chr22	28687896	28734721	FLAIR.tx.92	60	-	28687896	28734721	"217,95,2"	8	"90,81,86,83,91,148,125,319,"	"0,1238,6135,7230,31498,37080,37346,46506,"	0	11	2	1	0	14			
chr22	28687896	28734721	FLAIR.tx.93	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,62,54,109,239,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,24012,36989,37346,46506,"	1	7	3	2	0	13			
chr22	28687896	28734721	FLAIR.tx.94	60	-	28687896	28734721	"217,95,2"	10	"90,81,86,116,164,87,100,62,54,319,"	"0,1238,6135,7230,7813,9004,11941,15608,22109,46506,"	0	8	3	2	0	13			
chr22	28687896	28734721	FLAIR.tx.95	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,83,164,100,62,54,109,125,319,"	"0,1238,6135,7230,7813,11941,15608,22109,24012,37346,46506,"	2	8	1	2	0	13			
chr22	28687896	28734721	FLAIR.tx.96	60	-	28687896	28734721	"217,95,2"	11	"90,164,87,100,62,54,109,91,148,125,319,"	"0,7813,9004,11941,15608,22109,24012,31498,37080,37346,46506,"	0	6	5	2	0	13			
chr22	28687896	28734721	FLAIR.tx.97	60	-	28687896	28734721	"217,95,2"	10	"90,164,100,62,54,109,91,148,125,319,"	"0,7813,11941,15608,22109,24012,31498,37080,37346,46506,"	0	2	6	4	0	12			
chr22	28687896	28734721	FLAIR.tx.98	60	-	28687896	28734721	"217,95,2"	11	"90,81,86,116,164,87,100,54,109,391,319,"	"0,1238,6135,7230,7813,9004,11941,22109,24012,37080,46506,"	0	8	4	0	0	12			
chr22	28687896	28734721	FLAIR.tx.99	60	-	28687896	28734721	"217,95,2"	14	"90,81,86,116,164,87,100,62,109,91,114,148,125,319,"	"0,1238,6135,7230,7813,9004,11941,15608,24012,31498,33621,37080,37346,46506,"	0	7	5	0	0	12			
chr22	28687896	28734721	FLAIR.tx.100	60	-	28687896	28734721	"217,95,2"	13	"90,81,86,116,164,87,100,54,109,91,148,129,319,"	"0,1238,6135,7230,7813,9004,11941,22109,24012,31498,37080,42523,46506,"	1	7	2	2	0	12			
